timeStamp,wattsupPower,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 14:49:21 2020,98.9,1199.9824375000005,2.8560873398176145,12.7,9769.131845745896,10611.075753503686,382,2.2,10611.075753503686,295825408,4787491404,0.15507838971867016
Mon May 18 14:49:28 2020,98.8,1204.3425625000002,2.8479366707598013,12.4,9893.577858000335,10128.904531929333,381,2.2,10128.904531929333,295825408,4473991339,0.15071662184079468
Mon May 18 14:49:35 2020,98.7,1204.2824999999998,2.9520663152177056,12.8,9627.672276030009,10713.376665293408,382,2.2,10713.376665293408,295825408,4572477278,0.14943258419106767
Mon May 18 14:49:43 2020,98.7,1199.91528125,2.8634836848215155,12.9,9419.855331199433,10446.326207917657,383,2.2,10446.326207917657,295825408,4525622102,0.15311527858250512
Mon May 18 14:49:49 2020,98.9,1199.94171875,2.8584386323571924,12.7,9244.26535376534,10332.188417536248,383,2.2,10332.188417536248,295825408,4575299141,0.1508238109234789
Mon May 18 14:49:57 2020,98.9,1200.1782499999995,2.9406594339091185,12.8,10159.295305837568,10987.928557074496,383,2.2,10987.928557074496,295825408,4554242474,0.14748102441580976
Mon May 18 14:50:03 2020,98.8,1200.39840625,2.921568275072449,12.8,10597.643721214445,10719.722755663526,384,2.2,10719.722755663526,295825408,4463335075,0.15338685075939493
Mon May 18 14:50:11 2020,98.9,1200.70175,2.8158773153078203,12.7,10283.870923770972,10637.200752502857,384,2.2,10637.200752502857,295825408,4499312912,0.14121522640455794
Mon May 18 14:50:17 2020,98.9,1200.03371875,2.853412913802259,12.4,10021.737579666897,10605.111722931855,384,2.2,10605.111722931855,295825408,4571826237,0.1500435305270919
Mon May 18 14:50:25 2020,99.1,1209.1006562500004,2.903154374478833,12.6,10097.160208263409,10665.12212430247,384,2.2,10665.12212430247,295825408,4476504953,0.1438715198718767
Mon May 18 14:50:31 2020,98.8,1204.9006249999998,2.927965920204378,12.8,9674.305307309687,10746.07193706359,384,2.2,10746.07193706359,295825408,4559247430,0.13795511651908668
Mon May 18 14:50:39 2020,98.8,1199.9169062500002,2.9889376992539316,12.9,9756.862035482729,10863.217773641732,384,2.2,10863.217773641732,295825408,4743651846,0.15130871943427188
Mon May 18 14:50:46 2020,98.9,1199.92953125,2.9169758661084737,12.8,9812.706813588908,10521.038306983615,384,2.2,10521.038306983615,295825408,4945352667,0.16184977531890676
Mon May 18 14:50:53 2020,98.9,1205.3166874999995,2.8387069077163063,12.6,9864.068432111646,10114.864682828167,384,2.2,10114.864682828167,295825408,4470287847,0.1503523883545599
Mon May 18 14:51:00 2020,98.9,1205.9721875,2.9902698334453084,12.7,9802.869051368156,10769.437155835394,384,2.2,10769.437155835394,295825408,4440133746,0.13161872507532354
Mon May 18 14:51:07 2020,98.8,1199.91528125,2.8806921010253457,12.7,10231.81587718496,10344.462531098132,384,2.2,10344.462531098132,295825408,4868713746,0.1535633045685159
Mon May 18 14:51:14 2020,98.8,1199.9728437500005,2.840492907822441,12.7,9593.639585452598,10422.534052376328,384,2.2,10422.534052376328,295825408,4840525048,0.16125257274353422
Mon May 18 14:51:21 2020,98.8,1201.03365625,2.9469755981279206,12.8,10157.577032000749,10798.88778392452,384,2.2,10798.88778392452,295825408,4402254955,0.14336764917281636
Mon May 18 14:51:29 2020,98.8,1200.4698750000002,2.920438375062097,12.7,10294.18561220139,10649.709421776579,384,2.2,10649.709421776579,295825408,4399688748,0.1495880081127252
Mon May 18 14:51:35 2020,98.8,1199.92171875,2.8872962621831735,12.9,9396.621777313725,10402.227047769693,384,2.2,10402.227047769693,295825408,4807718236,0.1450050871862794
Mon May 18 14:51:43 2020,98.8,1199.93596875,2.843127483231574,12.8,9836.21721350561,10673.738752078569,384,2.2,10673.738752078569,304214016,4775325621,0.15552523852945654
Mon May 18 14:51:49 2020,99.0,1200.402125,2.907871705056837,12.6,10278.932338117162,10782.992629158334,384,2.2,10782.992629158334,304214016,4456610041,0.1521654349774051
Mon May 18 14:51:57 2020,98.9,1201.69721875,2.915368103390732,12.7,9725.078811938101,10674.773892815765,384,2.2,10674.773892815765,304214016,4418969019,0.14589381271446175
Mon May 18 14:52:04 2020,98.8,1200.1405625,2.9439057835358096,13.0,10100.123257016949,10774.551824836353,384,2.2,10774.551824836353,304214016,4520662650,0.14600363435471936
