timeStamp,Power,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 20:12:21 2020,156.7,2237.705875,25.03367555,76.8,35558.61476,36265.14851,434,5.7,36265.14851,304537600,46509998271,0.173477506
Mon May 18 20:12:29 2020,162,1807.75425,23.42961273,74.1,43876.02695,29633.68316,435,7.4,29633.68316,304570368,19343184059,0.180919388
Mon May 18 20:12:35 2020,142.9,2164.808875,18.31155508,60.6,28564.50449,22771.53265,438,7.8,22771.53265,304570368,33136650292,0.494810381
Mon May 18 20:12:43 2020,144.4,2015.45725,19.468314,62.5,33155.21603,26363.6421,443,7.7,26363.6421,304570368,29092810708,0.462667254
Mon May 18 20:12:49 2020,144.1,2243.841344,19.90412733,62,32802.37555,22766.44557,445,7.9,22766.44557,304570368,22422605575,0.539329746
Mon May 18 20:12:57 2020,143.4,2141.616219,19.67921191,62.7,34566.54833,25635.04738,451,7.8,25635.04738,304570368,28517590232,0.469533845
Mon May 18 20:13:03 2020,142.6,1968.633875,20.47469199,62.2,34625.94346,27237.34556,455,8.1,27237.34556,304631808,29123651676,0.443722481
Mon May 18 20:13:11 2020,145,2011.199,19.05061044,62.3,29999.23093,24219.18013,455,8.2,24219.18013,304631808,33829673222,0.404345894
Mon May 18 20:13:17 2020,150.1,2228.61075,19.61095165,64.2,32228.65897,28672.14851,457,7.9,28672.14851,304664576,26586524738,0.329949531
Mon May 18 20:13:25 2020,149.9,2081.743875,20.3270794,64.2,31013.92758,24833.85268,459,8.3,24833.85268,304664576,29876932959,0.445480337
Mon May 18 20:13:32 2020,151.9,2032.901219,20.91012315,65.6,30895.71142,24828.15093,459,8,24828.15093,304664576,28911715071,0.378966949
Mon May 18 20:13:39 2020,152.8,2098.115594,18.6791789,62.7,28837.48809,22487.82572,459,8.2,22487.82572,304664576,24196802878,0.129845854
Mon May 18 20:13:46 2020,147.3,1978.117531,19.9913255,64.9,32390.07596,25905.93299,459,8.4,25905.93299,304664576,29867294261,0.454115155
Mon May 18 20:13:53 2020,147.4,2241.125031,21.09778553,67.8,26580.73043,25339.80047,460,8.3,25339.80047,304664576,26607275924,0.397736823
Mon May 18 20:14:00 2020,143.7,2040.160188,22.31176055,69,30852.65602,28994.32901,461,8.5,28994.32901,304664576,26260956700,0.182119484
Mon May 18 20:14:07 2020,149.5,1925.722281,20.53110952,67.4,35154.4638,26591.46691,460,8.5,26591.46691,304664576,31938787491,0.446800527
Mon May 18 20:14:14 2020,152.3,2001.409938,20.0010723,66.9,36144.90392,29618.23822,467,8.3,29618.23822,304697344,31659139099,0.435421615
Mon May 18 20:14:21 2020,151.5,1996.89475,19.14128609,66.6,30017.35225,25953.49612,463,8.9,25953.49612,304726016,34517660231,0.387474227
Mon May 18 20:14:28 2020,154.7,2164.022687,19.98589,66.9,26253.28868,26791.09319,463,8.8,26791.09319,304726016,40976775020,0.309252081
Mon May 18 20:14:35 2020,156.3,2053.4765,21.14712911,66.5,37392.18017,29285.36414,463,9.2,29285.36414,304726016,38668995984,0.301687412
Mon May 18 20:14:42 2020,156.2,2129.003688,23.32834514,72.7,31995.22395,27936.41602,463,8.9,27936.41602,304726016,42199485532,0.304717087
Mon May 18 20:14:49 2020,156.4,2141.832313,22.66878761,73.5,34529.63347,29299.70526,463,9.1,29299.70526,304726016,34317329697,0.275031429
Mon May 18 20:14:57 2020,156.7,2192.939156,21.70507292,72.4,37085.85679,27988.98542,463,9.3,27988.98542,304726016,36492196119,0.162843825
Mon May 18 20:15:03 2020,156.7,2129.012,20.44549543,68.3,30841.99162,28713.08118,464,9.3,28713.08118,304726016,39291453372,0.300083403
Mon May 18 20:15:11 2020,157.5,2150.617563,22.45280152,72.5,29832.76794,31528.76276,464,9,31528.76276,304726016,33038888993,0.107169493
