timestamp,Power,currentCPUFrequency,userTime1Sec,idleTime1Sec,percentCPU,contextSwitches,interrupts,interruptsSoftware,numberOfProcesses
Wed Dec 18 12:23:58 2019,121.1,1981.719063,18.1988273,13.66859488,57.3,1698.898017,21725.39781,19505.07272,360
Wed Dec 18 12:24:02 2019,134.1,1984.082344,17.08637188,14.79293182,53.8,1540.402891,31656.77671,18441.25446,360
Wed Dec 18 12:24:07 2019,133.4,1912.789594,16.80686746,15.14673658,52.6,1365.692573,19792.36226,17921.19116,360
Wed Dec 18 12:24:12 2019,133.4,1925.651188,17.0542836,14.87943177,53.5,1322.333399,19216.41126,18069.08394,360
Wed Dec 18 12:24:17 2019,132.7,1983.329438,17.29077854,14.6125873,54.3,1477.703764,28881.00354,18312.91571,360
Wed Dec 18 12:24:22 2019,133.9,1792.486344,16.39702089,15.52979546,51.5,1467.04005,25753.07175,17636.58556,360
Wed Dec 18 12:24:27 2019,134.8,1981.158406,17.35480623,14.57755043,54.4,1354.30774,25863.28599,18578.16186,360
Wed Dec 18 12:24:31 2019,134.6,1855.924656,17.3054813,14.63991624,54.3,1385.36354,21649.50035,18243.17597,360
Wed Dec 18 12:24:35 2019,134.4,1739.799094,16.11232873,15.85433676,50.5,1261.483381,18056.76067,17051.56554,360
Wed Dec 18 12:24:39 2019,134.2,1870.912875,17.25067517,14.68510276,54.1,1500.397372,24471.76349,18567.53918,360
Wed Dec 18 12:24:43 2019,134.4,1908.78425,17.38092919,14.55391059,54.5,1336.076751,24733.36905,18338.36564,360
Wed Dec 18 12:24:48 2019,134,1977.149,16.76681404,15.15179693,52.6,1332.340179,22981.00838,17871.48575,359
Wed Dec 18 12:24:53 2019,133.7,1818.9945,16.66976961,15.2563141,52.3,1395.05318,24582.37969,17751.20012,359
Wed Dec 18 12:24:58 2019,133,2008.267219,16.38127481,15.54939026,51.4,1297.348422,24540.98568,17392.45494,358
Wed Dec 18 12:25:03 2019,132.6,1908.011125,16.94683357,14.95619719,53.2,1432.592687,27654.77394,17980.51603,358
Wed Dec 18 12:25:08 2019,132.2,1948.49825,17.38433647,14.5656496,54.5,1342.405708,18172.01097,18572.6637,358
Wed Dec 18 12:25:12 2019,132.4,1690.003438,17.06494196,14.87644227,53.5,1320.402927,20351.58649,18027.24889,358
Wed Dec 18 12:25:16 2019,131.9,1874.421594,16.6879963,15.266291,52.2,1297.54953,17761.822,17628.65885,358
Wed Dec 18 12:25:20 2019,132.1,1914.73225,16.58580286,15.33937235,52,1474.293588,21597.08647,17806.67181,358
Wed Dec 18 12:25:24 2019,133.1,2024.284938,17.24760866,14.71727814,54,1205.556508,18084.32083,18271.41931,358
Wed Dec 18 12:25:29 2019,134,1903.112625,17.27015627,14.66817943,54.2,1331.139241,21304.68875,18355.58588,359
Wed Dec 18 12:25:34 2019,134.3,1499.953688,16.3055308,15.62825426,51.2,1343.395653,25757.25782,17309.70095,359
Wed Dec 18 12:25:39 2019,134.3,2004.810406,17.34881932,14.58295204,54.4,1492.354716,27210.22255,18586.90216,359
Wed Dec 18 12:25:44 2019,133.9,1922.318719,17.08598923,14.83865701,53.6,1328.040226,24915.82782,18046.58673,359
Wed Dec 18 12:25:49 2019,134.2,1773.921344,16.29315507,15.64805032,51.1,1320.152099,28677.9491,17289.29418,359
Wed Dec 18 12:25:53 2019,135,1848.270094,17.50979724,14.41868763,54.9,1331.611074,23594.41527,18531.32377,359
Wed Dec 18 12:25:57 2019,129.8,2041.616375,17.5078022,14.42635113,54.9,1374.726357,25508.37858,18730.15981,359
Wed Dec 18 12:26:01 2019,137.3,1634.548156,16.36179975,15.59263451,51.3,1442.671632,17093.96716,17240.98482,359
Wed Dec 18 12:26:05 2019,136,1914.656188,17.31687496,14.61773029,54.3,1346.65171,26597.16227,18253.1788,359
Wed Dec 18 12:26:10 2019,134.9,1794.349094,17.14692408,14.79998779,53.8,1362.945575,28707.39596,18177.69694,359
Wed Dec 18 12:26:15 2019,135.7,1514.377313,16.50571749,15.44853715,51.7,1307.967009,21623.25343,17463.24879,359
Wed Dec 18 12:26:20 2019,135.2,2009.617,17.15284335,14.77626815,53.8,1488.785365,30058.19477,18405.34154,359
Wed Dec 18 12:26:26 2019,134.9,2039.966219,17.37032503,14.56303932,54.5,1430.267043,23581.98302,18387.1341,359
Wed Dec 18 12:26:30 2019,134.8,1740.027406,16.55456276,15.39121654,51.8,1394.555199,19147.99735,17724.48019,359
Wed Dec 18 12:26:34 2019,135.2,1976.504188,17.37661556,14.55964145,54.5,1335.201902,26837.94778,18340.27879,359
Wed Dec 18 12:26:38 2019,135.4,1939.990594,17.06712322,14.84669292,53.6,1440.358074,24933.09493,18293.95965,359
Wed Dec 18 12:26:43 2019,135,1912.88575,16.8284739,15.09765703,52.8,1460.817263,23119.52328,17881.64854,359
Wed Dec 18 12:26:47 2019,135.2,1360.248375,16.34700621,15.59024543,51.3,1296.469918,27241.92815,17382.86815,359
Wed Dec 18 12:26:52 2019,134.7,1981.503031,17.34474302,14.60208106,54.4,1364.674984,22822.23635,18431.43228,359
Wed Dec 18 12:26:57 2019,134.4,1973.816438,17.49743422,14.46078652,54.8,1375.399747,18754.77474,18552.52735,359
Wed Dec 18 12:27:02 2019,135.4,1952.463594,16.60656886,15.34428846,52.1,1419.622375,19475.15523,17695.95032,359
Wed Dec 18 12:27:08 2019,134.8,1964.984438,17.31312444,14.61583948,54.3,1307.733006,31036.0021,18429.81608,359
Wed Dec 18 12:27:13 2019,134.3,1935.304156,16.57934027,15.37357007,52,1278.077009,24695.8287,17562.27941,359
Wed Dec 18 12:27:17 2019,135.3,1989.670031,17.55066785,14.3906225,55,1376.007417,20190.93685,18608.72309,359
Wed Dec 18 12:27:21 2019,135.3,1959.104375,16.86062637,15.07082851,52.8,1485.166959,21661.4243,18100.33534,359
Wed Dec 18 12:27:25 2019,134.4,1871.721906,16.71105426,15.22903416,52.4,1338.928507,20917.41181,17728.51339,359
Wed Dec 18 12:27:29 2019,134.7,2075.189875,17.76529223,14.17523797,55.7,1337.690726,19790.08283,18860.31963,359
Wed Dec 18 12:27:34 2019,135.8,1869.823531,16.53639888,15.40655848,51.8,1263.580603,21692.54399,17512.72196,359
Wed Dec 18 12:27:39 2019,135.1,1927.649875,17.43014091,14.50292672,54.7,1435.020251,24262.20007,18584.18776,359
Wed Dec 18 12:27:44 2019,134.7,1851.983125,16.79515801,15.14834352,52.6,1298.065786,23417.07545,17692.58379,359
Wed Dec 18 12:27:50 2019,135.2,1947.592969,16.941297,15.01454755,53.1,1372.025752,21394.94702,18079.52815,359
Wed Dec 18 12:27:54 2019,135.6,2044.796844,17.39189684,14.53745512,54.6,1327.449241,23189.35802,18455.31631,359
Wed Dec 18 12:27:58 2019,134.4,1307.116188,16.17499076,15.76118362,50.8,1322.722345,23220.17899,17238.71852,358
Wed Dec 18 12:28:02 2019,134.8,1993.751469,17.60763683,14.34160532,55.2,1423.371839,25950.48382,18861.08675,358
Wed Dec 18 12:28:07 2019,135.2,1924.341344,17.41277316,14.52532624,54.6,1369.335,18315.80996,18596.92004,358
Wed Dec 18 12:28:11 2019,135.4,1822.395063,16.45972516,15.48348647,51.6,1296.620267,20671.18479,17452.51853,358
